SJAG_04842	B6K7W8
SJAG_03130	B6K3E6
SJAG_03697	B6K4Y2
SJAG_03967	B6K5J4
SJAG_03524	B6K4G4
SJAG_04713	B6K7J9
SJAG_00399	B6JVI8
SJAG_01241	B6K053
SJAG_01312	B6K0B8
SJAG_02206	B6K1U5
SJAG_00464	B6JVP9
SJAG_01206	B6K017
SJAG_02444	B6K2H6
SJAG_00507	B6JVU1
SJAG_01283	B6K091
SJAG_04897	B6K821
SJAG_04291	B6K6G0
SJAG_00118	B6JXH9
SJAG_01079	B6JXF1
SJAG_02412	B6K2E4
SJAG_01383	B6JXS2
SJAG_03528	B6K4G8
SJAG_04481	B6K6Y1
SJAG_01411	B6JXU8
SJAG_01185	B6JZZ6
SJAG_04772	B6K7Q6
SJAG_01678	B6JYL7
SJAG_02389	B6K2C1
SJAG_01985	B6JZE7
SJAG_04093	B6K5W8
SJAG_05259	B6K1U9
SJAG_01940	B6JZB1
SJAG_04238	B6K6B0
SJAG_04056	B6K5T0
SJAG_00400	B6JVI9
SJAG_03012	B6K330
SJAG_05353	B6K8G0
SJAG_02991	B6K312
SJAG_01556	B6JY95
SJAG_00758	B6JWI3
SJAG_03482	B6K4C6
SJAG_05373	T0RT79
SJAG_04957	B6K879
SJAG_04025	B6K5Q0
SJAG_01233	B6K045
SJAG_04851	B6K7X7
SJAG_00344	B6JVD7
SJAG_05307	B6K2T6
SJAG_04968	B6K888
SJAG_04874	B6K7Z9
SJAG_02580	B6K0M2
SJAG_03541	B6K4I0
SJAG_02525	B6K2Q9
SJAG_01583	B6JYC2
SJAG_00797	B6JWL9
SJAG_03535	B6K4H4
SJAG_00049	B6JUS4
SJAG_01528	B6JY69
SJAG_02722	B6K104
SJAG_04471	B6K6X1
SJAG_03214	B6K3M4
SJAG_03400	B6K447
SJAG_02166	B6K1Q5
SJAG_05154	B6K8H0
SJAG_02637	B6K0S4
SJAG_00171	B6JXN1
SJAG_04065	B6K5T9
SJAG_02040	B6JZK0
SJAG_04991	B6K8B4
SJAG_04172	B6K644
SJAG_00097	B6JUZ8
SJAG_00692	B6JWB8
SJAG_03361	B6K413
SJAG_02591	B6K0N3
SJAG_05398	T0T6P1
SJAG_01888	B6JZ64
SJAG_02152	B6K1P1
SJAG_00236	B6JV35
SJAG_01849	B6JZ26
SJAG_00329	B6JVC2
SJAG_02324	B6K259
SJAG_02960	B6K2Y5
SJAG_01741	B6JYS3
SJAG_00732	B6JWF6
SJAG_01619	B6JYF7
SJAG_01526	B6JY67
SJAG_03986	B6K5L1
SJAG_04050	B6K5S4
SJAG_02609	B6K0Q1
SJAG_00688	B6JWB4
SJAG_00322	B6JVB5
SJAG_00222	B6JV22
SJAG_05027	B6K8E8
SJAG_03753	B6K2V3
SJAG_04513	B6K710
SJAG_03042	B6K360
SJAG_00585	B6JW18
SJAG_02158	B6K1P7
SJAG_02496	B6K2M9
SJAG_02103	B6JZQ8
SJAG_01981	B6JZE4
SJAG_04465	B6K6W5
SJAG_01461	B6JY01
SJAG_02210	B6K1V0
SJAG_00576	B6JW09
SJAG_03191	B6K3K2
SJAG_02767	B6K145
SJAG_06383	T0TB29
SJAG_01364	B6K0H1
SJAG_02836	B6K1B1
SJAG_02992	B6K313
SJAG_02890	B6K1G2
SJAG_03463	B6K4A9
SJAG_00384	B6JVH3
SJAG_03899	B6K5C9
SJAG_00372	B6JVG1
SJAG_02690	B6K0X2
SJAG_01569	B6JYA8
SJAG_04737	B6K7M1
SJAG_04637	B6K7C9
SJAG_04241	B6K6B3
SJAG_05872	T0S346
SJAG_02622	B6K0R3
SJAG_02675	B6K0V8
SJAG_04107	B6K5Y1
SJAG_00784	B6JWK7
SJAG_00147	B6JXK5
SJAG_00872	B6JWU7
SJAG_01995	B6JZF7
SJAG_03311	B6K3W7
SJAG_00899	B6JWX4
SJAG_04890	B6K814
SJAG_05028	B6K8E9
SJAG_06620	T0RSS1
SJAG_01074	B6JXE6
SJAG_01017	B6JX92
SJAG_01021	B6JX96
SJAG_02919	B6K1I9
SJAG_02233	B6K1X0
SJAG_03148	B6K3G4
SJAG_06187	T0TB16
SJAG_04791	B6K7S5
SJAG_04796	B6K7S9
SJAG_01413	B6JXV0
SJAG_03203	B6K3L4
SJAG_02730	B6K112
SJAG_01288	B6K096
SJAG_05218	B6JZV9
SJAG_05333	B6K733
SJAG_03582	B6K4M0
SJAG_03473	B6K4B9
SJAG_04057	B6K5T1
SJAG_04669	B6K7F9
SJAG_01070	B6JXE2
SJAG_03717	B6K2R9
SJAG_00047	B6JUS2
SJAG_00374	B6JVG3
SJAG_03281	B6K3U0
SJAG_03637	B6K4S5
SJAG_02863	B6K1D7
SJAG_04012	B6K5N6
SJAG_03747	B6K2U7
SJAG_01156	B6JZW8
SJAG_01155	B6JZW6
SJAG_00645	B6JW75
SJAG_01078	B6JXF0
SJAG_00151	B6JXK9
SJAG_03026	B6K345
SJAG_01005	B6JX80
SJAG_02456	B6K2I5
SJAG_01689	B6JYM4
